BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01A04;Berlin-Kolleg;10551;Turmstr. 75;9018382-10;9018382-22;leitung@berlin-kolleg.de;http://www.berlin-kolleg.de
01B01;OSZ Banken, Immobilien und Versicherungen;10557;Alt-Moabit 10;39884-0;39884-119;mail@osz-biv.de;http://www.osz-biv.de
01B02;Staatliche Technikerschule Berlin;10555;Bochumer Str. 8 B;390006-0;390006-82;info@technikerschule-berlin.de;http://www.technikerschule-berlin.de
01B03;OSZ Kommunikations-, Informations- und Medientechnik;13359;Osloer Str. 23-26;49307-0;49307-100;verwaltung@oszkim.de;http://www.oszkim.de
01B04;OSZ Gesundheit I;13349;Schwyzer Str. 6-8;453080-0;453080-77;sekretariat@osz-gesundheit.de;http://www.osz-gesundheit.de
01B05;Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin;10117;Niederwallstr. 6-7;206131-30;206131-31;info@hotelfachschule-berlin.de;http://www.hotelfachschule-berlin.de
01G01;Grundschule am Arkonaplatz;10115;Ruppiner Str. 47-48;4862568-0;4862568-20;info@grundschule-am-arkonaplatz.de;http://www.grundschuleamarkonaplatz.de
01G02;Papageno-Grundschule;10115;Bergstr. 58;308817-11;308817-10;papageno-grundschule.cids@t-online.de;http://www.papageno.cidsnet.de
01G04;Kastanienbaum-Grundschule;10119;Gipsstr. 23 A;2758163-30;2758163-50;sekretariat@kastanienbaumgrundschule.de;http://www.kastanienbaumgrundschule.de
01G05;Grundschule Neues Tor;10115;Hannoversche Str. 20;240883-30;240883-40;post@neues-tor.de;http://www.neues-tor.de
01G07;GutsMuths-Grundschule;10179;Singerstr. 8;240838-6;240838-88;post@gutsmuths-grundschule.de;http://www.gutsmuths-grundschule.de
01G08;Grundschule am Brandenburger Tor;10117;Wilhelmstr. 52;206294-30;206294-40;GS_am_Brandenburger_Tor.cids@t-online.de;http://www.Grundschule-am-Brandenburger-Tor.de
01G10;City-Grundschule;10179;Sebastianstr. 57;284490-60;284490-70;info@city-grundschule.de;http://www.city-grundschule.de
01G11;Kurt-Tucholsky-Grundschule;10559;Rathenower Str. 18;39744293-10;39744293-38;info@kurt-tucholsky-grundschule.de;http://www.kurt-tucholsky-grundschule.de
01G15;Anne-Frank-Grundschule;10557;Paulstr. 20 B;2062918-0;2062918-8;sekretariat@anne-frank-grundschule.de;http://anne-frank-grundschule.de
01G16;Moabiter Grundschule;10557;Paulstr. 28;302086-30;302086-40;kontakt@moabiter-grundschule.de;http://www.moabiter-grundschule.de
01G18;Carl-Bolle-Grundschule;10551;Waldenserstr. 20-21;3974578-10;3974578-11;info@carl-bolle.cidsnet.de;http://www.carl-bolle.cidsnet.de
01G19;Hansa-Grundschule;10555;Lessingstr. 5;398064-30;398064-34;info@hansa.cidsnet.de;http://www.hansa@hansa.cidsnet.de
01G24;Gottfried-Röhl-Grundschule;13349;Ungarnstr. 75;450811-10;450811-20;roehl-grundschule-berlin@t-online.de;http://www.gottfried-roehl-grundschule.de
01G25;Rudolf-Wissell-Grundschule;13357;Ellerbeker Str. 7-8;4979994-0;4979994-20;info@rudolf-wissell-grundschule.de;http://www.rudolf-wissell-grundschule.de
01G27;Gesundbrunnen-Grundschule;13357;Prinzenallee 8;4930156-60;4930156-66;gesundbrunnenschule@gmx.de;http://www.gesundbrunnen-grundschule.de
01G28;Brüder-Grimm-Grundschule;13353;Tegeler Str. 18-19;453084-0;453084-15;bggs-berlin@web.de;http://brueder-grimm.cidsnet.de
01G29;Wilhelm-Hauff-Grundschule;13359;Gotenburger Str. 8;484908-10;484908-20;wilhelm-hauff-grundschule@web.de;http://wilhelm-hauff-grundschule.de
01G31;Wedding-Grundschule;13347;Antonstr. 10;90184-4250;90184-7437;asuhr@wedding-schule.de;http://www.wedding-schule.de
