Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
;Neubau;Chausseestraße 81;13353;Berlin;Neubau einer dreizügigen Grundschule;4.500.000 €
;Berolinaschule;Berolinastr. 8;10178;Berlin;"Umbau des Schulstandortes zur Sonderschule mit Förderschwerpunkt ""Geistige Entwicklung""";16.615.000 €
;Neubau;Berliner Straße;13187;Berlin;Neubau eines Schulkomplexes: Grundschule/ISS für jeweils vier Züge und Neubau einer Sporthalle mit fünf Hallenteilen;61.500.000 €
;ehemalige Schule Pasteurstr. 7-11;Dietrich-Bonhoeffer-Straße 6-9;10407;Berlin;Denkmalgerechte Instandsetzung des Schulstandortes Pasteursstraße und Neubau einer Sporthalle mit vier Hallenteilen;30.400.000 €
;Ehemaliges Coubertin-Gymnasium;Conrad-Blenkle-Straße 34;10407;Berlin;Grundinstandsetzung und Ausbau zu einem fünfzügigen Gymnasium;15.600.000 €
;Neubau;Mertenstraße;10781;Berlin;"Neubau einer inklusiven Grundschule (Förderschwerpunkt ""Geistige Entwicklung"") und einer Sporthalle";26.500.000 €
;Neubau;Weidenweg;13591;Berlin;Neubau einer Grundschule und einer Sporthalle;15.118.000 €
;Neubau;Lutherstraße;13585;Berlin;Erweiterung (Ersatzbau) einer Schulanlage;3.288.000 €
;ehemal. Max-von-Laue-Schule;Dürerstraße 27;12203;Berlin;Um- und Erweiterungsbau der Real- zu einer Sekundarschule;7.521.000 €
;Zukünftiger Grundschulstandort;Wartiner Straße 8;13057;Berlin;Grundinstandsetzung Schule einschl. Außenanlagen;9.345.000 €
;Zukünftiger Grundschulstandort;Paul-Junius-Straße 69;10369;Berlin;Sanierung Schulgebäude, Sporthalle und Außenanlagen;10.500.000 €
;Zukünftiger Grundschulstandort;Wartiner Straße 1-3;13057;Berlin;Sanierung Sporthalle und Außenanlagen;30.000.000 €
01G15;Anne-Frank-Grundschule;Paulstraße 20B;10557;Berlin;Umbau des Fluchttreppenhauses;300.000 €
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Berlin;Umbau von Fachräumen, Einrichtung einer Bibliothek;250.000 €
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Berlin;Freiflächenumgestaltung;300.000 €
01G37;Heinrich-Seidel-Grundschule;Ramlerstraße 9-10;13355;Berlin;Erweiterung von Küche und Mensa, Umgestaltung des Garderobenbereichs, Barrierefreiheit der Turnhalle;150.000 €
01G42;Anne-Lindh-Grundschule;Guineastraße 17-18;13351;Berlin;Freiflächenumgestaltung;150.000 €
01G46;Grundschule am Koppenplatz;Koppenplatz 12;10115;Berlin;Freiflächenumgestaltung;230.000 €
01K04;Heinrich-von-Stephan-Oberschule;Neues Ufer 6;10553;Berlin;Energetische Sanierung der Sporthalle Wiebestraße;500.000 €
01K04;Heinrich-von-Stephan-Oberschule;Neues Ufer 6;10553;Berlin;Neubau einer Mensa;1.000.000 €
01Y02;John-Lennon-Gymnasium;Zehdenicker Straße 17;10119;Berlin;Umsetzung Schulkonzept;1.700.000 €
01Y08;Lessing-Gymnasium;Schöningstraße 17;13349;Berlin;Neubau der Sporthalle;4.500.000 €
02G04;Pettenkofer-Grundschule;Pettenkoferstraße 20-24;10247;Berlin;Grundsanierung des Direktorenhauses;1.295.000 €
02G10;Modersohn-Grundschule;Niemannstraße 3;10245;Berlin;Neubau einer Grundschule am Standort der Emanuel-Lasker-Oberschule;14.700.000 €
02G11;Thalia-Grundschule;Alt-Stralau 34;10245;Berlin;Erweiterung der Grundschule;3.376.000 €
02G11;Thalia-Grundschule;Alt-Stralau 34;10245;Berlin;Neubau einer Sporthalle und von Außenanlagen;2.170.000 €
02G32;Clara-Grunwald-Grundschule;Hallesche Straße 24;10963;Berlin;Neubau einer Sporthalle und von Außenanlagen;3.000.000 €
02K07;Georg-Weerth-Schule;Eckertstraße 16;10249;Berlin;Umbau und Schaffung von Arbeitsräumen;1.270.000 €
02Y08;Hermann-Hesse-Gymnasium;Böckhstraße 16;10967;Berlin;Umbau und Schaffung von Fachräumen;1.500.000 €
03G17;Grundschule am Weißen See;Amalienstraße 6;13086;Berlin;Grundinstandsetzung und Ausbau einer vierzügigen Grundschule;16.000.000 €
