Schulnummer;Schulname;Adresse;PLZ;Ort;Jahr;Raeume
01Gn01;1. Bauabschnitt Grundschule;Chausseestr. 1;10115;Berlin;2017;16 Räume
02G09;Zille-Grundschule;Boxhagener Str. 46;10245;Berlin;2016;12 Räume
02Gn01;1. Bauabschnitt Grundschule;Pufendorfstr. 12;10249;Berlin;2017;16 Räume
02Gn02;1. Bauabschnitt Grundschule;Corinthstraße;10245;Berlin;2016;24 Räume
03G13;Rudolf-Dörrier-Grundschule;Kastanienallee 59;13158;Berlin;2015;12 Räume
03G22;Grundschule am Wasserturm;Tino-Schwierzina-Str. 66;13089;Berlin;2014;12 Räume
03G34;Mendel-Grundschule;Stiftsweg 3;13187;Berlin;2014;12 Räume
03G37;Klecks-Grundschule;Brixener Str. 40;13187;Berlin;2015;12 Räume
03G39;Grundschule Wolkenstein;Neumannstr. 65;13189;Berlin;2013;8 Räume
03G43;Grundschule Wilhelmsruh;Lessingstr. 44;13158;Berlin;2014;12 Räume
03K07;Tesla-Schule (Gemeinschaftsschule);Rudi-Arndt-Str. 18;10407;Berlin;2016;24 Räume
03K08;Hagenbeck-Schule;Gustav-Adolf-Str. 60;13086;Berlin;2016;12 Räume
03K10;Hufeland-Schule (Integrierte Sekundarschule);Walter-Friedrich-Str. 16-18;13125;Berlin;2015;24 Räume
03Y10;Rosa-Luxemburg-Gymnasium;Kissingenstr. 12;13189;Berlin;2015;24 Räume
05G06;Siegerland-Grundschule;Hermann-Schmidt-Weg 4;13589;Berlin;2015;12 Räume
05K06;Wolfgang-Borchert-Schule (Integrierte Sekundarschule);Blumenstr. 13;13585;Berlin;2016;12 Räume
05Y01;Freiherr-vom-Stein-Gymnasium;Galenstr. 40-44;13597;Berlin;2016;24 Räume
06G33;33. Schule (Grundschule);Drakestr. 80;12205;Berlin;2016;12 Räume
09G10;Schule am Berg (Grundschule);Köpenicker Str. 31;12524;Berlin;2015;12 Räume
09G16;Wendenschloß-Schule (Grundschule);Köpenzeile 123;12557;Berlin;2017;12 Räume
09K09;Grünauer Schule (Gemeinschaftsschule);Walchenseestr. 40;12527;Berlin;2016;24 Räume
10G06;Bruno-Bettelheim-Grundschule (Gemeinschaftsschule);Schleusinger Str. 17;12687;Berlin;2016;12 Räume
10G09;Grundschule am Bürgerpark;Jan-Petersen-Str. 18B;12679;Berlin;2015;24 Räume
10G18;Pusteblume-Grundschule;Kastanienallee 118;12627;Berlin;2015;24 Räume
11G09;Bürgermeister-Ziethen-Grundschule;Massower Str. 39;10315;Berlin;2015;12 Räume
11G13;Karlshorster Grundschule;Lisztstr. 6;10318;Berlin;2014;24 Räume
11G14;Richard-Wagner-Grundschule;Ehrenfelsstr. 36;10318;Berlin;2014;12 Räume
11G17;Brodowin-Grundschule;Liebenwalder Str. 22;13055;Berlin;2014;24 Räume
11G18;Grundschule am Wilhelmsberg;Sandinostr. 8;13055;Berlin;2016;24 Räume
11K12;Paul-und-Charlotte-Kniese-Schule (Gemeinschaftsschule);Erich-Kurz-Str. 6-10;10319;Berlin;2016;12 Räume
12G05;Kolumbus-Grundschule;Büchsenweg 23A;13409;Berlin;2015;12 Räume
12G06;Hausotter-Grundschule;Hausotterplatz 4;13409;Berlin;2014;12 Räume
