Schulnummer;Schulname;Adresse;PLZ;Ort;Beschreibung;Kostenansatz 
01G19;Hansa-Grundschule;Lessingstr. 5;10555;Berlin;Sanierung Sportplatz;550.000 €
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Berlin;Sanierung Dach, Fassade, Keller, Schadstoffsanierung, 2. BA;1.600.000 €
01G36;Andersen-Grundschule;Kattegatstr. 26;13359;Berlin;Brandschutz, Schaffung 2. Rettungsweg, Sanierung Fenster;500.000 €
01G38;Gustav-Falke-Grundschule;Strelitzer Str. 42;13355;Berlin;Klimawettbewerb: Sanierung Fenster;17.000 €
01G44;Allegro-Grundschule;Lützowstr. 83-85;10785;Berlin;Sanierung Sanitär- und Umkleidebereiche Sporthalle;400.000 €
01S06;Albert-Gutzmann-Schule;Orthstr. 1;13357;Berlin;Brand- u. Lärmschutz, Sanierung Dach, Fassade Gebäude+Sporthalle;850.000 €
01Y07;Französisches Gymnasium;Derfflingerstr. 7;10785;Berlin;energ. Sanierung, Sanitär, Brandschutz, Fenster und Fassade;496.000 €
01Y08;Lessing-Gymnasium;Schöningstr. 17;13349;Berlin;Brandschutz, energ. Sanierung Fenster, Schallschutz Flure;700.000 €
02G02;Hausburg-Grundschule;Hausburgstr. 20;10249;Berlin;Sanierung Fenster;463.000 €
02G02;Hausburg-Grundschule;Hausburgstr. 20;10249;Berlin;Akustik – und Brandschutzmaßnahmen, Beleuchtung;269.000 €
02G07;Ludwig-Hoffmann-Grundschule;Lasdehner Str. 21-23;10243;Berlin;Akustikmaßnahme;104.000 €
02G11;Thalia-Grundschule;Alt-Stralau 34;10245;Berlin;Sanierung Laufbahn;50.000 €
02G12;Kurt-Schumacher-Grundschule;Puttkamerstr. 19;10969;Berlin;Sanierung Sanitär;0 €
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Berlin;Sanierung Sporthalle;130.000 €
02G13;Charlotte-Salomon-Grundschule;Großbeerenstr. 40;10965;Berlin;Sanierung Brandschutz;170.000 €
02G21;Reinhardswald-Grundschule;Gneisenaustr. 73-74;10961;Berlin;Sanierung Sanitär;600.000 €
02G24;Otto-Wels-Grundschule;Alexandrinenstr. 12;10969;Berlin;Sanierung Bodenbelag;200.000 €
02G27;Hunsrück-Grundschule;Manteuffelstr. 79;10999;Berlin;Sanierung Schulsportplatz;100.000 €
02G29;Heinrich-Zille-Grundschule;Waldemarstr. 118;10997;Berlin;Klimawettbewerb: Sanierung Fenster;17.000 €
02G35;Rosa-Parks-Grundschule;Reichenberger Str. 65;10999;Berlin;Brandschutzmaßnahmen;60.000 €
02G35;Rosa-Parks-Grundschule;Reichenberger Str. 65;10999;Berlin;Sanierung Dach;120.000 €
02K01;Ellen-Key-Oberschule;Rüdersdorfer Str. 20;10243;Berlin;Brandschutzmaßnahmen;40.000 €
02K02;Carl-von-Ossietzky-Schule;Blücherstr. 46;10961;Berlin;Sanierung Sanitär Sporthalle;512.000 €
02K03;Hector-Peterson-Schule;Tempelhofer Ufer 15;10963;Berlin;Sanierung Sanitär;220.000 €
02Y01;Andreas-Oberschule;Koppenstr. 76;10243;Berlin;Sanierung Sportplatz;80.000 €
02Y01;Andreas-Oberschule;Koppenstr. 76;10243;Berlin;Brandschutzmaßnahmen;620.000 €
02Y01;Andreas-Oberschule;Koppenstr. 76;10243;Berlin;Sanierung Brandschutz, Keller (Feuchtigkeitsschäden);100.000 €
02Y05;Dathe-Gymnasium;Helsingforser Str. 11-13;10243;Berlin;Sanierung Bodenbelag;158.000 €
02Y06;Leibniz-Gymnasium;Schleiermacherstr. 23;10961;Berlin;Sanierung Sanitär;450.000 €
03G03;Grundschule am Kollwitzplatz;Knaackstr. 67;10435;Berlin;Sanierung Einzelraumheizung;17.000 €
03G05;Homer-Grundschule;Pasteurstr. 10-12;10407;Berlin;Sanierung Geschossdecke, 1. BA;17.000 €
03G08;Grundschule am Planetarium;Ella-Kay-Str. 47;10405;Berlin;Energ. Sanierung einschl. Sanitär, Akustikmaßnahmen;223.000 €
03G13;Rudolf-Dörrier-Grundschule;Kastanienallee 59;13158;Berlin;Sanierung Sanitär;458.000 €
03G13;Rudolf-Dörrier-Grundschule;Kastanienallee 59;13158;Berlin;Sanierung Schulhof;110.000 €
03G18;Picasso-Grundschule;Gounodstr. 71;13088;Berlin;Sanierung Sanitär;54.000 €
03G20;Grundschule im Moselviertel;Brodenbacher Weg 31;13088;Berlin;Energ. Sanierung, Klassenraumfenster;225.000 €
03G32;Grundschule an den Buchen;Wilhelm-Wolff-Str. 19;13156;Berlin;Sanierung Sanitär;37.000 €
03G34;Mendel-Grundschule;Stiftsweg 3;13187;Berlin;Sanierung Heizung;100.000 €
03G35;Platanengrundschule;Hauptstr. 20;13159;Berlin;Sanierung Sanitär;52.000 €
03G37;Klecks-Grundschule;Brixener Str. 40;13187;Berlin;Sanierung Schulhof;110.000 €
03G38;Grundschule im Blumenviertel;Syringenplatz 30;10407;Berlin;Sanierung Sanitär;438.000 €
03G41;Trelleborg-Schule;Eschengraben 40;13189;Berlin;Sanierung Dach, Brandschutz, Sanitär;609.000 €
03GNN;Neue Grundschule;Buchholzer Str. 3;13156;Berlin;Sanierung Gebäude einschl. Sanitär, Elektro, Rettungswege;980.000 €
03K05;Heinz-Brandt-Schule;Langhansstr. 120;13086;Berlin;Sanierung Sporthalle inkl. Sanitär;980.000 €
03K11;Wilhelm-von-Humboldt-Schule;Gudvanger Str. 16-20;10439;Berlin;Sanierung Elektro, Brandschutz, Schaffung Rettungswege;710.000 €
03Y10;Rosa-Luxemburg-Gymnasium;Kissingenstr. 12;13189;Berlin;Sanierung Fassade;980.000 €
03Y16;Robert-Havemann-Schule;Achillesstr. 79;13125;Berlin;Dezentrale Heizungsregelung, 1. BA;17.000 €
04G01;Eichendorff-Grundschule;Goethestr. 19;10625;Berlin;Sanierung Fenster, 2. BA;150.000 €
04G04;Joan-Miró-Grundschule;Bleibtreustr. 43;10623;Berlin;Sanierung Elektro, Sprachalarmierungsanlage, 3. BA;180.000 €
04G04;Joan-Miró-Grundschule;Bleibtreustr. 43;10623;Berlin;Sanierung und Trockenlegung Keller;130.000 €
