BSN;NAME;AnzahlAktiveLehrkraefte;DarunterAnzahlAktiveQuereinsteigende;Davon1FachQuereinsteigende;Davon2FachQuereinsteigende;AnteilQuereinsteigendeAnLehrkraefte
01G01;Grundschule am Arkonaplatz;31;1;1;0;3%
01G02;Papageno-Grundschule;38;5;0;5;13%
01G04;Kastanienbaum-Grundschule;27;1;1;0;4%
01G05;Grundschule Neues Tor;35;2;1;1;6%
01G07;GutsMuths-Grundschule;26;2;1;1;8%
01G08;Grundschule am Brandenburger Tor;42;1;1;0;2%
01G10;City-Grundschule;26;1;0;1;4%
01G11;Kurt-Tucholsky-Grundschule;50;5;2;3;10%
01G15;Anne-Frank-Grundschule;25;1;1;0;4%
01G16;Moabiter Grundschule;35;5;5;0;14%
01G18;Carl-Bolle-Grundschule;35;7;4;3;20%
01G19;Hansa-Grundschule;25;0;0;0;0%
01G24;Gottfried-Röhl-Grundschule;43;4;2;2;9%
01G25;Rudolf-Wissell-Grundschule;40;3;3;0;8%
01G27;Gesundbrunnen-Grundschule;48;5;1;4;10%
01G28;Brüder-Grimm-Grundschule;40;3;2;1;8%
01G29;Wilhelm-Hauff-Grundschule;40;8;5;3;20%
01G31;Wedding-Grundschule;46;5;0;5;11%
01G32;Carl-Kraemer-Grundschule;43;10;2;8;23%
01G35;Humboldthain-Grundschule;43;3;1;2;7%
01G36;Andersen-Grundschule;29;2;1;1;7%
01G37;Heinrich-Seidel-Grundschule;43;4;1;3;9%
01G38;Gustav-Falke-Grundschule;33;4;2;2;12%
01G39;Vineta-Grundschule;35;4;3;1;11%
01G40;Möwensee-Grundschule;35;3;3;0;9%
01G41;Erika-Mann-Grundschule;57;5;1;4;9%
01G42;Anna-Lindh-Schule (Grundschule);69;3;2;1;4%
01G43;Albert-Gutzmann-Schule (Grundschule);26;1;1;0;4%
01G44;Allegro-Grundschule;36;1;1;0;3%
01G45;Leo-Lionni-Grundschule;55;4;3;1;7%
01G46;Grundschule am Koppenplatz;54;4;2;2;7%
01G47;Miriam-Makeba-Grundschule;40;2;0;2;5%
02G01;Spartacus-Grundschule;31;3;1;2;10%
02G02;Hausburg-Grundschule;43;1;0;1;2%
02G03;Justus-von-Liebig-Grundschule;41;5;2;3;12%
02G04;Pettenkofer-Grundschule;32;3;3;0;9%
02G07;Ludwig-Hoffmann-Grundschule;27;0;0;0;0%
02G08;Grundschule am Traveplatz;27;1;0;1;4%
02G09;Zille-Grundschule;29;0;0;0;0%
02G10;Modersohn-Grundschule;32;0;0;0;0%
02G11;Thalia-Grundschule;22;3;1;2;14%
02G12;Kurt-Schumacher-Grundschule;26;3;2;1;12%
02G13;Charlotte-Salomon-Grundschule;45;3;0;3;7%
02G14;Galilei-Grundschule;33;0;0;0;0%
02G16;Lenau-Grundschule;40;4;2;2;10%
02G18;Nürtingen-Grundschule;56;2;1;1;4%
02G19;Fanny-Hensel-Grundschule;28;1;0;1;4%
02G20;Bürgermeister-Herz-Grundschule;37;0;0;0;0%
02G21;Reinhardswald-Grundschule;46;1;0;1;2%
02G22;Jens-Nydahl-Grundschule;42;4;2;2;10%
02G23;Fichtelgebirge-Grundschule;36;3;2;1;8%
02G24;Otto-Wels-Grundschule;58;5;1;4;9%
02G26;Lemgo-Grundschule;36;3;2;1;8%
02G27;Hunsrück-Grundschule;44;6;3;3;14%
02G29;Heinrich-Zille-Grundschule;42;1;1;0;2%
02G31;Adolf-Glaßbrenner-Grundschule;35;0;0;0;0%
02G32;Clara-Grunwald-Grundschule;27;0;0;0;0%
02G33;Aziz-Nesin-Grundschule;35;1;1;0;3%
02G34;Jane-Goodall-Grundschule;27;1;0;1;4%
02G35;Rosa-Parks-Grundschule;43;3;2;1;7%
02G36;Blumen-Grundschule;56;2;2;0;4%
03G01;Schule am Hamburger Platz (Grundschule);26;0;0;0;0%
03G02;Heinrich-Roller-Grundschule;26;0;0;0;0%
03G03;Grundschule am Kollwitzplatz;30;1;0;1;3%
03G04;Grundschule an der Marie;29;0;0;0;0%
03G05;Homer-Grundschule;34;4;1;3;12%
03G06;Bötzow-Grundschule;27;1;1;0;4%
03G08;Grundschule am Planetarium;44;6;2;4;14%
03G09;Thomas-Mann-Grundschule;32;4;4;0;13%
03G10;Grundschule am Hohen Feld;36;1;1;0;3%
03G11;Schule am Falkplatz (Grundschule);39;1;1;0;3%
