BSN;Schulname;Klassenfrequenz-Grundschule-1-6;Klassenfrequenz-ISS-7-10;Klassenfrequenz-Gymnasium-7-10;Klassenfrequenz-Sonderp
01G10;City-Grundschule;21,9;;;
01G11;Kurt-Tucholsky-Grundschule;23,5;;;
01G18;Carl-Bolle-Grundschule;21,8;;;
01G24;Gottfried-Röhl-Grundschule;22,6;;;
01G25;Rudolf-Wissell-Grundschule;22,4;;;
01G27;Gesundbrunnen-Grundschule;22,5;;;
01G28;Brüder-Grimm-Grundschule;20,9;;;
01G29;Wilhelm-Hauff-Grundschule;22,3;;;
01G31;Wedding-Grundschule;22,4;;;
01G32;Carl-Kraemer-Grundschule;20,3;;;
01G35;Humboldthain-Grundschule;20,6;;;
01G36;Andersen-Grundschule;22,2;;;
01G37;Heinrich-Seidel-Grundschule;22,5;;;
01G38;Gustav-Falke-Grundschule;22,2;;;
01G39;Vineta-Grundschule;21,2;;;
01G40;Möwensee-Grundschule;23,7;;;
01G41;Erika-Mann-Grundschule;23,2;;;
01G42;Anna-Lindh-Schule (Grundschule);23,1;;;
01G43;Albert-Gutzmann-Schule (Grundschule);22,6;;;
01G44;Allegro-Grundschule;22,0;;;
01G45;Leo-Lionni-Grundschule;22,2;;;
01G47;Miriam-Makeba-Grundschule;22,8;;;
01K01;Willy-Brandt-Schule;;26,0;;
01K02;Ernst-Schering-Schule;;25,2;;
01K03;Ernst-Reuter-Schule;;25,8;;
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);;26,1;;
01K07;Hemingway-Schule;;26,3;;
01K08;Schule am Schillerpark (Integrierte Sekundarschule);;25,8;;
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);;24,6;;
01K10;Theodor-Heuss-Gemeinschaftsschule;21,9;24,8;;
01P49;Quinoa-Schule Freie Sekundarschule Berlin Wedding;;23,7;;
01S01;Schule am Zille-Park;;;;10,5
01S06;Albert-Gutzmann-Schule;;;;8,2
01S07;Charlotte-Pfeffer-Schule;;;;7,7
01Y09;Diesterweg-Gymnasium;;;26,9;
01Y11;Max-Planck-Gymnasium;;;28,4;
02G12;Kurt-Schumacher-Grundschule;21,5;;;
02G14;Galilei-Grundschule;21,6;;;
02G16;Lenau-Grundschule;20,9;;;
02G18;Nürtingen-Grundschule;22,8;;;
02G19;Fanny-Hensel-Grundschule;23,6;;;
02G20;Bürgermeister-Herz-Grundschule;23,0;;;
02G21;Reinhardswald-Grundschule;27,5;;;
02G22;Jens-Nydahl-Grundschule;21,0;;;
02G24;Otto-Wels-Grundschule;22,8;;;
02G26;Lemgo-Grundschule;18,9;;;
02G27;Hunsrück-Grundschule;24,1;;;
02G29;Heinrich-Zille-Grundschule;22,9;;;
02G33;Aziz-Nesin-Grundschule;19,6;;;
02G35;Rosa-Parks-Grundschule;23,4;;;
02G36;Blumen-Grundschule;22,3;;;9,7
02K01;Ellen-Key-Schule;;27,3;;
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);23,0;24,1;;
02K03;Hector-Peterson-Schule;;24,3;;
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);;25,4;;
02K05;Schule am Königstor (Integrierte Sekundarschule);;23,3;;
02K07;Georg-Weerth-Schule;;24,3;;
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);;23,8;;
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);;25,7;;
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);;23,7;;
02P03;Islamische Grundschule;24,0;;;
02S01;Temple-Grandin-Schule;;;;11,4
02S02;Gustav-Meyer-Schule;;;;5,8
