BSN;Schulname;AlleLehrkraefte;AlleQS;Q1_5;Q6_x;S1_5;S6_x
11G32;32. Schule (Grundschule);16;44 %;19 %;;25 %;
01G32;Carl-Kraemer-Grundschule;42;36 %;;26 %;10 %;
03B08;Staatliche Ballettschule Berlin und Schule für Artistik;69;35 %;;;;35 %
05K09;Schule am Staakener Kleeblatt (Integrierte Sekundarschule);33;33 %;;27 %;6 %;
11G07;Hermann-Gmeiner-Schule (Grundschule);33;30 %;;27 %;3 %;
11S08;Schule Am Breiten Luch;34;30 %;15 %;;15 %;
01G38;Gustav-Falke-Grundschule;35;29 %;;20 %;9 %;
01G24;Gottfried-Röhl-Grundschule;45;29 %;;27 %;2 %;
05G22;Christian-Morgenstern-Grundschule;55;29 %;;24 %;5 %;
01B02;Staatliche Technikerschule Berlin;81;29 %;4 %;;;25 %
08G20;Sonnen-Schule (Grundschule);36;28 %;;25 %;3 %;
09G06;Melli-Beese-Schule (Grundschule);26;27 %;;27 %;;
01G18;Carl-Bolle-Grundschule;34;27 %;;24 %;3 %;
12G28;Grundschule in den Rollbergen;38;27 %;;24 %;3 %;
08B05;Carl-Legien-Schule;32;26 %;13 %;;13 %;
08G18;Eduard-Mörike-Schule (Grundschule);35;26 %;;26 %;;
01G29;Wilhelm-Hauff-Grundschule;41;25 %;;20 %;5 %;
02G22;Jens-Nydahl-Grundschule;44;25 %;;20 %;5 %;
05G30;Birken-Grundschule;56;25 %;;21 %;4 %;
11G23;Friedrichsfelder Schule (Grundschule);38;24 %;;24 %;;
08G26;Christoph-Ruden-Schule (Grundschule);22;23 %;23 %;;;
11G10;Schule im Ostseekarree (Grundschule);30;23 %;;23 %;;
12G05;Kolumbus-Grundschule;56;23 %;;23 %;;
11B01;Hein-Moeller-Schule (OSZ Energietechnik II);66;23 %;;20 %;3 %;
05K06;Wolfgang-Borchert-Schule (Integrierte Sekundarschule);62;23 %;;18 %;5 %;
02K03;Hector-Peterson-Schule;36;22 %;14 %;;8 %;
02G26;Lemgo-Grundschule;37;22 %;14 %;;8 %;
11G31;Schmetterlings-Grundschule;18;22 %;22 %;;;
08G16;Hugo-Heimann-Schule (Grundschule);23;22 %;22 %;;;
05G23;Grundschule am Brandwerder;27;22 %;;22 %;;
08G21;Silberstein-Schule (Grundschule);27;22 %;;22 %;;
11G26;Randow-Schule (Grundschule);32;22 %;;22 %;;
11G02;Schule am Roederplatz (Grundschule);36;22 %;;19 %;3 %;
11G22;Martin-Niemöller-Grundschule;50;22 %;;22 %;;
12G33;Lauterbach-Grundschule;54;22 %;;22 %;;
09G29;Schmöckwitzer Insel-Schule (Grundschule);14;21 %;14 %;;7 %;
07G26;Grundschule im Taunusviertel;24;21 %;21 %;;;
09G04;Sonnenblumen-Schule (Grundschule);28;21 %;;21 %;;
03G29;Grundschule Am Sandhaus;29;21 %;;21 %;;
12G17;Ellef-Ringnes-Grundschule;25;20 %;12 %;;8 %;
01G43;Albert-Gutzmann-Schule (Grundschule);26;20 %;8 %;;12 %;
09G07;Schule an der alten Feuerwache (Grundschule);35;20 %;;17 %;3 %;
12G06;Hausotter-Grundschule;36;20 %;;17 %;3 %;
11G18;Schule am Wilhelmsberg (Grundschule);45;20 %;;16 %;4 %;
01K01;Willy-Brandt-Schule;54;20 %;;11 %;9 %;
08G31;Janusz-Korczak-Schule (Grundschule);21;19 %;14 %;;5 %;
03G46;Grundschule im Eliashof;22;19 %;14 %;;5 %;
08G06;Karl-Weise-Schule (Grundschule);27;19 %;19 %;;;
08G33;Schule am Fliederbusch (Grundschule);27;19 %;19 %;;;
05G28;Grundschule an der Pulvermühle;32;19 %;;19 %;;
01G47;Miriam-Makeba-Grundschule;41;19 %;12 %;;7 %;
12G30;Reineke-Fuchs-Grundschule;42;19 %;;17 %;2 %;
06K09;Gail-S.-Halvorsen-Integrierte Sekundarschule;43;19 %;;19 %;;
10G18;Pusteblume-Grundschule;43;19 %;;19 %;;
01G27;Gesundbrunnen-Grundschule;48;19 %;;15 %;4 %;
10G22;Kolibri-Grundschule;54;19 %;;19 %;;
01G11;Kurt-Tucholsky-Grundschule;55;19 %;;15 %;4 %;
08G36;Löwenzahn-Schule (Grundschule);28;18 %;18 %;;;
11S05;Schule am grünen Grund;28;18 %;18 %;;;
03G28;Grundschule im Hasengrund;33;18 %;15 %;;3 %;
08G34;Lisa-Tetzner-Schule (Grundschule);34;18 %;15 %;;3 %;
04G11;Helmuth-James-von-Moltke-Grundschule;40;18 %;;18 %;;
03G08;Grundschule am Planetarium;45;18 %;;18 %;;
05G11;Robert-Reinick-Grundschule;49;18 %;;16 %;2 %;
08G19;Herman-Nohl-Schule (Grundschule);56;18 %;;16 %;2 %;
01G41;Erika-Mann-Grundschule;62;18 %;;13 %;5 %;
06G16;Rothenburg-Grundschule;23;17 %;17 %;;;
02G12;Kurt-Schumacher-Grundschule;24;17 %;17 %;;;
08G24;Schule am Teltowkanal (Grundschule);30;17 %;17 %;;;
05G10;Grundschule am Birkenhain;35;17 %;;17 %;;
12G29;Hermann-Schulz-Grundschule;35;17 %;;17 %;;
01G05;Grundschule Neues Tor;36;17 %;3 %;;14 %;
02G02;Hausburg-Grundschule;45;17 %;;13 %;4 %;
08K02;Hermann-von-Helmholtz-Schule;79;17 %;;16 %;1 %;
09G13;Schule am Altglienicker Wasserturm (Grundschule);18;17 %;11 %;;6 %;
03S08;Panke-Schule;24;16 %;8 %;;8 %;
11G19;Obersee-Schule (Grundschule);25;16 %;16 %;;;
08G07;Hermann-Boddin-Schule (Grundschule);26;16 %;8 %;;8 %;
07G01;Spreewald-Grundschule;32;16 %;16 %;;;
09G19;Amtsfeld-Schule (Grundschule);32;16 %;16 %;;;
12G12;Borsigwalder Grundschule;32;16 %;16 %;;;
05G01;Ernst-Ludwig-Heim-Grundschule;38;16 %;;16 %;;
05G06;Siegerland-Grundschule;38;16 %;;16 %;;
05G04;Klosterfeld-Grundschule;39;16 %;13 %;;3 %;
02K07;Georg-Weerth-Schule;40;16 %;13 %;;3 %;
12G09;Grundschule an der Peckwisch;43;16 %;;14 %;2 %;
02K05;Schule am Königstor (Integrierte Sekundarschule);45;16 %;7 %;;9 %;
07K06;Georg-von-Giesche-Schule;48;16 %;6 %;;10 %;
01G31;Wedding-Grundschule;49;16 %;;14 %;2 %;
05G18;Grundschule im Beerwinkel;49;16 %;;16 %;;
05G27;Peter-Härtling-Grundschule;49;16 %;;12 %;4 %;
05G07;Lynar-Grundschule;51;16 %;;16 %;;
10K10;Wolfgang-Amadeus-Mozart-Schule (Gemeinschaftsschule);79;16 %;;10 %;6 %;
08K13;Gemeinschaftsschule Campus Efeuweg;81;16 %;;14 %;2 %;
11K10;Grüner Campus Malchow (Gemeinschaftsschule);153;16 %;;15 %;1 %;
08G01;Rixdorfer Schule (Grundschule);40;15 %;10 %;;5 %;
01G02;Papageno-Grundschule;41;15 %;10 %;;5 %;
01G25;Rudolf-Wissell-Grundschule;41;15 %;10 %;;5 %;
08S05;Schule am Hasenhegerweg;13;15 %;15 %;;;
07S01;Prignitz-Schule;26;15 %;15 %;;;
10G01;Paavo-Nurmi-Grundschule;26;15 %;15 %;;;
08G28;Matthias-Claudius-Schule (Grundschule);27;15 %;11 %;;4 %;
04G25;Cecilien-Schule (Grundschule);33;15 %;12 %;;3 %;
12G03;Reginhard-Grundschule;33;15 %;15 %;;;
01G16;Moabiter Grundschule;34;15 %;12 %;;3 %;
10G08;Wilhelm-Busch-Grundschule;40;15 %;;15 %;;
07G34;Marienfelder Schule (Grundschule);41;15 %;;15 %;;
01G44;Allegro-Grundschule;46;15 %;;13 %;2 %;
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);53;15 %;6 %;;9 %;
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);54;15 %;;13 %;2 %;
05Y04;Carl-Friedrich-von-Siemens-Gymnasium;54;15 %;;15 %;;
04G04;Joan-Miró-Grundschule;67;15 %;;9 %;6 %;
