Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto
Kurt-Tucholsky-Grundschule;Mitte;Sanierung Fenster (3.BA);209500
Carl-Bolle-Grundschule;Mitte;Sanierung WC-Anlagen (3.BA);390000
Gesundbrunnen-Grundschule;Mitte;Umsetzung Schulkonzept;316900
Andersen Grundschule;Mitte;Sanierung Jungen WC (2.BA);225800
Anna-Lindh-Schule (Grundschule);Mitte;Sanierung Dächer;800000
Allegro Grundschule;Mitte;Sanierung Sporthalle;1144000
Leo-Lionni Grundschule;Mitte;Sanierung Dächer;1100000
Charlotte-Pfeffer-Schule;Mitte;Umsetzung BPU (3.BA);6800000
Lessing-Gymnasium;Mitte;Sanierung Dach und Fenster;1804000
Hausburg-Grundschule;Friedrichshain-Kreuzberg;Dachsanierung, Fassade, Fenster, Innenräume, Elektrik, Akustik, Brandschutz, Maler;1250000
Pettenkofer-Grundschule;Friedrichshain-Kreuzberg;Schulgebäude: Akustik, Bodenbelag;300000
Kurt-Schumacher-Grundschule;Friedrichshain-Kreuzberg;Hauptgebäude: Komplettsanierung Brandschutz, 1. BA;758100
Charlotte-Salomon-Grundschule;Friedrichshain-Kreuzberg;"Hauptgebäude: Brandschutz, Sanitär, Akustik, pädagogische Sonderräume; Sporthalle: Sanitär";900000
Galilei-Grundschule;Friedrichshain-Kreuzberg;Hauptgebäude: Maler, Schließanlage, Amokbeschilderung;300550
Nürtingen-Grundschule;Friedrichshain-Kreuzberg;Rotes Haus: Komplettsanierung;1900000
Reinhardswald-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Au.enhülle, Dach;1030000
Jens-Nydahl-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Energetische Sanierung, KMF, Elektro, Beleuchtung, Rauabzüge, Unterdecke, Prallwände, Sportboden, Fußbodenheizung, Akustik, Sanitär, Gründach;800000
Fichtelgebirge-Grundschule;Friedrichshain-Kreuzberg;Sporthalle: Au.enhülle, Dach, Heizung, Beleuchtung;1000000
Otto-Wels-Grundschule;Friedrichshain-Kreuzberg;"Hauptgebäude: Sanierung Sanitär,Brandschutz; 3. BA Sanierung Flure, Dach Fenster";950000
Lemgo-Grundschule;Friedrichshain-Kreuzberg;starke Beeinträchtigung auf Schulhof wegen Baustelleneinrichtung R.-Koch-Gymnasium;
Adolf-Glaßbrenner-Grundschule;Friedrichshain-Kreuzberg;Sporthalle:Trinkwasserhygiene;115000
Clara-Grunwald-Grundschule;Friedrichshain-Kreuzberg;Schulgebäude: Trinkwasserhygiene;200000
Schule am Königstor (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Schaffung Barrierefreiheit (Aufzug), 2. BA;110000
Georg-Weerth-Schule;Friedrichshain-Kreuzberg;Umbau und Schaffung von Arbeitsräumen;100000
Refik-Veseli-Schule (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Sanierung Sanitär Sporthalle, 3. BA, Sanierung Boden und Heizung Sporthalle;440000
Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);Friedrichshain-Kreuzberg;Sanierung Fachräume, Aula, Fenster, Sanitär;1450000
Gustav-Meyer-Schule;Friedrichshain-Kreuzberg;Brandschutz, KMF, Elektro, Beleuchtung, Sanitär, Sanierung SH inkl. Barrierefreiheit, Gesamtsanierung inkl. Schaffung Barrierefreiheit;2257000
Andreas-Gymnasium;Friedrichshain-Kreuzberg;Feuchtesanierung, Fundamentunterfangung, Heizung;1500000
Georg-Friedrich-Händel-Gymnasium;Friedrichshain-Kreuzberg;Neubau Aula/Veranstaltungsraum (Akustikmaßnahmen, hydraulisches Hubpodest), 4. BA;245000
Dathe-Gymnasium;Friedrichshain-Kreuzberg;Sanierung Räume, 2. BA, Sanierung Sanitär, Schaffung Barrierefreiheit (Aufzug);560000
Leibniz-Gymnasium;Friedrichshain-Kreuzberg;Brandschutz, Hausalarm;400000
Robert-Koch-Gymnasium;Friedrichshain-Kreuzberg;Vorbereitung Aufstellung Unterrichtscontainer, Schulgebäude: Komplettsanierung;4834514
Hermann-Hesse-Gymnasium;Friedrichshain-Kreuzberg;Sanierung Fachräume, Komplettsanierung Gebäude, Aufzug;931606
Schule am Hamburger Platz (Grundschule);Pankow;Instandsetzung Klassenräume;70000
Heinrich-Roller-Grundschule;Pankow;Sanierung Fassade und Fenster;715000
Schule am Falkplatz (Grundschule);Pankow;Sanierung innenliegende Sporthalle und Treppenhäuser;850000
Paul-Lincke-Grundschule;Pankow;Sanierung Technische Geb.udeausrüstung, Mensa, Barrierefreiheit;1600000
Bornholmer Grundschule;Pankow;Maler- und Fußbodenbelagsarbeiten Klassenräume;12000
Grundschule im Moselviertel;Pankow;Malerarbeiten Klassenräume;10000
Grundschule im Panketal;Pankow;Umbau Hausmeisterwohnung zur Schulnutzung;160000
Elizabeth-Shaw-Grundschule;Pankow;Sanierung Sanitär und Umkleide Sporthalle;1400000
Grundschule im Hasengrund;Pankow;Mensa, Restarbeiten Medientechnik;70000
Grundschule an den Buchen;Pankow;Brandschutzmaßnahmen;150000
Elisabeth-Christinen-Grundschule;Pankow;Sanierung Haus B, Mensa;2000000
Grundschule im Blumenviertel;Pankow;Bauwerksabdichtung, Drainage;550000
Trelleborg-Schule (Grundschule);Pankow;"Sanierung Dach Thulestraße; Brandschutzmaßnahmen Rettungswege";100000
Georg-Zacharias-Grundschule;Pankow;Sanierung Sporthalle;485000
Heinz-Brandt-Schule;Pankow;Sanierung Fassade Sporthalle, Barrierefreiheit, Arbeitslehrezentrum Malerarbeiten Treppenhäuser;160000
