Schulname;Bezirk;Schulbaumaßnahme;KostenInEuroBrutto;BSN;Strasse;PLZ;Schulart;lat;lng
Kurt-Tucholsky-Grundschule;Mitte;Sanierung Fenster (3.BA);209500;01G11;Rathenower Str. 18;10559;Grundschule;52.53026;13.35303
Carl-Bolle-Grundschule;Mitte;Sanierung WC-Anlagen (3.BA);390000;01G18;Waldenserstr. 20-21;10551;Grundschule;52.528894;13.331807
Gesundbrunnen-Grundschule;Mitte;Umsetzung Schulkonzept;316900;01G27;Prinzenallee 8;13357;Grundschule;52.55338;13.38292
Andersen-Grundschule;Mitte;Sanierung Jungen WC (2.BA);225800;01G36;Kattegatstr. 26;13359;Grundschule;52.56553;13.38891
Anna-Lindh-Schule (Grundschule);Mitte;Sanierung Dächer;800000;01G42;Guineastr. 17-18;13351;Grundschule;52.550375;13.341886
Allegro-Grundschule;Mitte;Sanierung Sporthalle;1144000;01G44;Lützowstr. 83-85;10785;Grundschule;52.503571;13.363001
Leo-Lionni-Grundschule;Mitte;Sanierung Dächer;1100000;01G45;Müllerstr. 158;13353;Grundschule;52.544342;13.361352
Charlotte-Pfeffer-Schule;Mitte;Umsetzung BPU (3.BA);6800000;01S07;Berolinastr. 8;10178;"Förderschwerp.""Geistige Entwicklung""";52.52226;13.42328
Lessing-Gymnasium;Mitte;Sanierung Dach und Fenster;1804000;01Y08;Schöningstr. 17;13349;Gymnasium;52.55734;13.34371
Hausburg-Grundschule;Friedrichshain-Kreuzberg;Dachsanierung, Fassade, Fenster, Innenräume, Elektrik, Akustik, Brandschutz, Maler;1250000;02G02;Hausburgstr. 20;10249;Grundschule;52.524208;13.454324
Pettenkofer-Grundschule;Friedrichshain-Kreuzberg;Schulgebäude: Akustik, Bodenbelag;300000;02G04;Pettenkoferstr. 20-24;10247;Grundschule;52.518656;13.471
Kurt-Schumacher-Grundschule;Friedrichshain-Kreuzberg;Hauptgebäude: Komplettsanierung Brandschutz, 1. BA;758100;02G12;Puttkamerstr. 19;10969;Grundschule;52.504384;13.388493
Charlotte-Salomon-Grundschule;Friedrichshain-Kreuzberg;"Hauptgebäude: Brandschutz, Sanitär, Akustik, pädagogische Sonderräume; Sporthalle: Sanitär";900000;02G13;Großbeerenstr. 40;10965;Grundschule;52.49041;13.38183
Galilei-Grundschule;Friedrichshain-Kreuzberg;Hauptgebäude: Maler, Schließanlage, Amokbeschilderung;300550;02G14;Friedrichstr. 13;10969;Grundschule;52.501885;13.391531
Nürtingen-Grundschule;Friedrichshain-Kreuzberg;Rotes Haus: Komplettsanierung;1900000;02G18;Mariannenplatz 28;10997;Grundschule;52.505469;13.426859
