Schule;Region;Schulform;Kessfaktor;Plankosten2016
Elbschule Bildungszentrum Hören und Kommunikation;Altona;Förderschule;0;89.500
Schule Kielkamp;Altona;Förderschule;0;70.000
SO Hirtenweg;Altona;Förderschule;0;327.000
3. Gymnasium Altona;Altona;Grundschule;2;350.000
Fridtjof-Nansen-Schule;Altona;Grundschule;3;255.000
Ganztagsgrundschule Sternschanze;Altona;Grundschule;2;174.500
Grundschule Groß Flottbek;Altona;Grundschule;5;90.000
Grundschule Iserbarg;Altona;Grundschule;5;287.000
Grundschule Marschweg;Altona;Grundschule;6;122.500
Grundschule Mendelsohnstraße;Altona;Grundschule;2;170.000
Grundschule Thadenstraße;Altona;Grundschule;4;283.000
Grundschule Trenknerweg;Altona;Grundschule;5;100.000
GS Bahrenfelder Straße;Altona;Grundschule;4;101.700
GS Lehmkuhlenweg;Altona;Grundschule;6;57.000
Loki-Schmidt-Schule;Altona;Grundschule;4;85.000
Louise-Schröder-Schule GS;Altona;Grundschule;3;51.500
Schule Franzosenkoppel;Altona;Grundschule;3;235.000
Schule Iserbrook;Altona;Grundschule;5;199.000
Schule Kroonhorst;Altona;Grundschule;1;153.000
Schule Langbargheide;Altona;Grundschule;1;260.000
Schule Schenefelder Landstraße;Altona;Grundschule;4;75.000
Windmühlenweg;Altona;Grundschule;6;50.000
Max Brauer Schule;Altona;Grundschule / Stadtteilschule;5;99.500
Goethe-Gymnasium;Altona;Gymnasium;4;174.000
Gymnasium Allee;Altona;Gymnasium;4;248.900
Gymnasium Allee/Sporthalle Haubachstraße 60;Altona;Gymnasium;4;271.800
Gymnasium Altona;Altona;Gymnasium;5;225.000
Gymnasium Hochrad 2;Altona;Gymnasium;6;222.244
Gymnasium Othmarschen;Altona;Gymnasium;6;189.500
Lise-Meitner-Gymnasium;Altona;Gymnasium;4;189.000
Marion-Dönhoff-Gymnasium;Altona;Gymnasium;6;419.000
ReBBZ Altona-West;Altona;ReBBZ;0;138.000
Stadtteilschule Blankenese;Altona;Stadtteilschule;5;193.000
STS Altona / Kurt-Tucholsky-Schule;Altona;Stadtteilschule;2;77.500
STS Bahrenfeld;Altona;Stadtteilschule;3;75.000
STS-Lurup;Altona;Stadtteilschule;2;55.000
STS-Lurup, GS;Altona;Stadtteilschule;2;93.000
Schule Weidemoor;Bergedorf;Förderschule;0;112.450
Sprachheilschule Reinbeker Redder;Bergedorf;Förderschule;0;77.300
Anton-Ree-Schule;Bergedorf;Grundschule;3;107.070
Clara-Grunwald-Schule;Bergedorf;Grundschule;2;79.100
Grundschule Curslack-Neuengamme;Bergedorf;Grundschule;5;104.210
Grundschule Heidhorst;Bergedorf;Grundschule;4;101.750
Grundschule Max-Eichholz-Ring;Bergedorf;Grundschule;4;167.230
Grundschule Mendelstraße;Bergedorf;Grundschule;2;153.500
Grundschule Mittlerer Landweg;Bergedorf;Grundschule;5;63.250
Grundschule Sander Straße;Bergedorf;Grundschule;3;54.850
Schule Ernst-Henning-Straße;Bergedorf;Grundschule;4;121.550
Schule Friedrich-Frank-Bogen;Bergedorf;Grundschule;2;54.300
