Schule;Schulform;Bezirk;Gebaeudeklasse2016Neubau;Kessfaktor2016Neubau;Plankosten2016Neubau;Gebaeudeklasse2016Sanierung;Kessfaktor2016Sanierung;Plankosten2016Sanierung
Anne-Frank-Schule / Grundschule Karlshöhe mit Zweigstellen;Grundschule;Wandsbek-Süd;3,6;5;783.600,00 €;;;
Anton-Rée-Schule Allermöhe;Grundschule;Bergedorf;3,0;3;4.712.349,60 €;3,0;3;528.776,10 €
Brüder-Grimm-Schule;Stadtteilschule;Hamburg-Mitte;3,5;2;4.431.889,53 €;3,5;2;1.491.348,85 €
Charlotte-Paulsen-Gymnasium;Gymnasium;Wandsbek-Süd;3,4;5;3.482.841,60 €;3,4;5;161.520,00 €
Christianeum;Gymnasium;Altona;4,0;6;1.715.468,00 €;4,0;6;478.608,48 €
Elbkinder Grundschule;Grundschule;Altona;3,1;6;1.719.841,20 €;3,1;6;965.853,51 €
Elfenwiese;Förderschule;Harburg;3,0;0;60.000,00 €;;;
Erich Kästner-Schule;Grundschule / Stadtteilschule;Wandsbek-Süd;2,8;3;1.636.992,00 €;2,8;3;6.308.397,62 €
Friedrich-Ebert-Gymnasium;Gymnasium;Harburg;2,1;5;1.047.918,00 €;2,1;5;4.089.920,60 €
Fritz-Schumacher-Schule;Stadtteilschule;Hamburg-Nord;4,5;4;175.000,00 €;4,5;4;2.264.693,76 €
FSP II Staatliche Fachschule für Sozialpädagogik Altona;Berufsschule;HIBB;2,5;0;3.079.324,54 €;;;
G 12 Staatl. Berufsschule Eidelstedt - STS Eidelstedt;Berufsschule;HIBB;4,0;0;6.695.391,48 €;4,0;0;177.672,00 €
G 16 Berufliche Schule Farmsen;Berufsschule;HIBB;3,9;0;1.950.000,78 €;;;
G 20 Gewerbeschule Verkehrstechnik;Berufsschule;HIBB;;;;4,0;0;120.648,92 €
G 6 Gewerbeschule Holztechnik, Farbtechnik;Berufsschule;HIBB;3,0;0;2.857.094,99 €;3,0;0;143.454,55 €
G 8 Berufl. Schule Recycling- u. Umwelttechnik;Berufsschule;HIBB;4,2;0;690.542,30 €;4,2;0;2.336.749,69 €
G 9 Gewerbeschule Kraftfahrzeugtechnik;Berufsschule;HIBB;4,1;0;3.459.228,54 €;4,1;0;4.186.319,16 €
Gelehrtenschule des Johanneums;Gymnasium;Hamburg-Nord;2,6;6;3.406.072,32 €;;;
Goldbek-Schule;Grundschule;Hamburg-Nord;3,5;4;264.112,24 €;;;
Grundschule Am Kiefernberg;Grundschule;Harburg;3,9;3;608.775,00 €;;;
Grundschule an der Haake;Grundschule;Harburg;3,2;3;3.212.626,46 €;3,2;3;4.658.371,20 €
